,idPosto,nome,codigo_ban,codigo_sni,x,y,z,banco
0,25264930_simepar,Almirante_Tamandare_Tranqueira,25264930,,-49.301,-25.259,,simepar
1,25284923_simepar,Colombo_Copel_ap,25284923,2549090.0,-49.23149,-25.28776,,simepar
2,25314930_simepar,Almirante_Tamandare_Centro_cem,25314930,,-49.298,-25.31,,simepar
3,25314931_simepar,Almirante_Tamandare_Jd_Planalto_cem,25314931,,-49.308,-25.312,,simepar
4,25324916_simepar,Embrapa_ap,25324916,2549128.0,-49.16233,-25.3225,,simepar
5,25324927_simepar,Almirante_Tamandare_Jd_Rosana_cem,25324927,,-49.267,-25.316,,simepar
6,25324915_simepar,Colombo_inmet,25324915,,-49.15773,-25.32246,950.0,simepar
7,25344928_simepar,Almirante_Tamandare_Jd_Bonfim_cem,25344928,,-49.28,-25.344,,simepar
8,25374931_simepar,Almirante_Tamandare_Jd_Tangua_cem,25374931,,-49.308,-25.371,,simepar
9,25344925_simepar,Almirante_Tamandare_Jd_Graziela,25344925,,-49.246,-25.343,,simepar
10,25354926_simepar,Curitiba_Cachoeira_cem,25354926,,-49.25527,-25.3536,,simepar
11,25364919_simepar,Colombo_Alto_da_Cruz_cem,25364919,,-49.1892,-25.3612,,simepar
12,25364907_simepar,Quatro_Barras_ap,25364907,2549042.0,-49.074,-25.36761,,simepar
13,25364911_simepar,Campina_Grande_do_Sul_Jd_Graciosa_cem,25364911,,-49.109,-25.356,,simepar
14,25414936_simepar,Curitiba_Butiatuvinha_cem,25414936,,-49.36184,-25.41118,,simepar
15,25384933_simepar,Curitiba_Santa_Felicidade_1_cem,25384933,,-49.332,-25.382,,simepar
16,25424934_simepar,Curitiba_Sao_Braz_cem,25424934,,-49.342,-25.417,,simepar
17,25384924_simepar,Curitiba_Boa_Vista_cem,25384924,,-49.245,-25.379,,simepar
18,25384930_simepar,Curitiba_Pilarzinho_cem,25384930,,-49.295,-25.38,,simepar
19,25414930_simepar,Curitiba_Vista_Alegre_cem,25414930,,-49.301,-25.413,,simepar
20,25384920_simepar,Curitiba_Atuba_cem,25384920,,-49.197,-25.384,,simepar
21,25404918_simepar,Pinhais_Jardim_Claudia_cem,25404918,,-49.18,-25.4,,simepar
22,25404919_simepar,Pinhais_Jardim_Atuba_cem,25404919,,-49.193,-25.4,,simepar
23,25254905_simepar,Pinhais_sim,25254905,,-49.1299,-25.3907,930.0,simepar
24,25454904_simepar,Sao_Cristovao_ap,25454904,2549111.0,-49.0496,-25.45196,,simepar
25,25464957_simepar,Santa_Cecilia_ap,25464957,2549112.0,-49.57091,-25.46276,,simepar
26,25474953_simepar,Campo_Largo_Vila_Bancaria_cem,25474953,,-49.52551,-25.46856,,simepar
27,25424938_simepar,Ponte_BR_277_Campo_Largo_ap,25424938,2549186.0,-49.38794,-25.42697,,simepar
28,25444935_simepar,Curitiba_Santa_Felicidade_2_cem,25444935,,-49.35,-25.435,,simepar
29,25474932_simepar,Santa_Quiteria_ap,25474932,65019675.0,-49.32372,-25.47175,,simepar
30,25264913_simepar,Curitiba_inmet,25264913,,-49.2306,-25.44869,923.0,simepar
31,25264916_simepar,Curitiba_sim,25264916,2549101.0,-49.23033,-25.44817,935.0,simepar
32,25444916_simepar,Pinhais_Maria_Antonieta_cem,25444916,,-49.165,-25.442,,simepar
33,25444920_simepar,Pinhais_Estancia_Pinhais_cem,25444920,,-49.199,-25.438,,simepar
34,25464919_simepar,Pinhais_Weissopolis_cem,25464919,,-49.187,-25.462,,simepar
35,25454912_simepar,Ponte_PR_415_ap,25454912,2549185.0,-49.12135,-25.45058,,simepar
36,25464915_simepar,Piraquara_Vila_Mariana_cem,25464915,,-49.147,-25.46,,simepar
37,25454910_simepar,Piraquara_Jardim_Santa_Monica_cem,25454910,,-49.101,-25.45,,simepar
38,25444946_simepar,Campo_Largo_Ferraria_cem,25444946,,-49.45527,-25.43937,,simepar
39,25444947_simepar,Bom_Jesus_da_Aldeia_ap,25444947,,-49.47309,-25.44211,,simepar
40,25484918_simepar,Comp_C_Agua_Limpa_ap,25484918,2549187.0,-49.18133,-25.48581,906.0,simepar
41,25514914_simepar,Fazendinha_ap,25514914,,-49.14685,-25.5192,906.0,simepar
42,25484904_simepar,Entremar_ap,25484904,2549113.0,-49.04107,-25.48915,,simepar
43,25334953_simepar,Porto_Amazonas_sim,25334953,65035001.0,-49.8833,-25.55,,simepar
44,25584963_simepar,Balsa_Nova_ap,25584963,2549122.0,-49.63189,-25.58722,865.0,simepar
45,25544909_simepar,Sao_Jose_dos_Pinhais_Borda_do_Campo_cem,25544909,,-49.091,-25.537,906.0,simepar
46,25554916_simepar,Sao_Jose_dos_Pinhais_Quississana_cem,25554916,,-49.156,-25.548,906.0,simepar
47,25604951_simepar,Guajuvira_ap,25604951,2549093.0,-49.5134,-25.60021,897.0,simepar
48,25594939_simepar,Araucaria_Centro_cem,25594939,,-49.388,-25.595,897.0,simepar
49,25604939_simepar,Araucaria_ap,25604939,2549116.0,-49.39793,-25.60161,869.0,simepar
50,25594922_simepar,Cachoeira_ap,25594922,2549133.0,-49.22866,-25.59018,906.0,simepar
51,25594926_simepar,Ponte_do_Umbarazinho_ap,25594926,2549124.0,-49.26004,-25.59859,906.0,simepar
52,25594916_simepar,Grammer_Sanepar_ap,25594916,2549017.0,-49.1677,-25.58524,906.0,simepar
53,25644907_simepar,Reservatorio_Miringuava_snp,25644907,,-49.07424,-25.64231,944.0,simepar
54,25664910_simepar,Malhada_ap,25664910,2549130.0,-49.10322,-25.66264,906.0,simepar
55,25684954_simepar,Contenda_Copel_ap,25684954,,-49.54176,-25.681,,simepar
56,25474946_simepar,Lapa_sim,25474946,2549104.0,-49.7598,-25.7817,910.0,simepar
57,25494905_simepar,Vossoroca_sim,25494905,82230001.0,-49.0833,-25.8166,851.0,simepar
58,25584916_simepar,Mandirituba_Copel_ap,25584916,,-49.32475,-25.77708,,simepar
0,25474946_simepar,Lapa_sim,25474946,2549104.0,-49.7598,-25.7817,910.0,simepar
1,25254905_simepar,Pinhais_sim,25254905,,-49.1299,-25.3907,930.0,simepar
2,25264916_simepar,Curitiba_sim,25264916,2549101.0,-49.23033,-25.44817,935.0,simepar
3,25264913_simepar,Curitiba_inmet,25264913,,-49.2306,-25.44869,923.0,simepar
4,25324915_simepar,Colombo_inmet,25324915,,-49.15773,-25.32246,950.0,simepar
