hordatahora,25464925,25264916,25554920,25384933,25444919,25604951,25414936,25654927,25404918,25434918,25314931,25674931,25444920,25654931,25674918,25544941,25424858,25474932,25454956,25524921,25504918,25444916,25424911,25444946,25784977,25544907,25384920,25414930,25394919,25444935,25484918,25534939,25444947,25464917,25314905,25454917,25474953,25284923,25384930,25474906,25474946,25264907,25534954,25424938,25544938,25474924,25344925,25314929,25454910,25514914,25464957,25454912,25644907,25334908,25334953,25484915,25614917,25464915,25494929,25564928,25484919,25324927,25364911,25334927,25594939,25384924,25584916,25334907,25464952,25264913,25204932,25594916,25344928,25324915,25664910,25314930,25614935,25224935,25234959,25604939,25214934,25324916,25534921,25374946,25544909,25404919,25554916,25354926,25464919,25254905,25374931,25174931,25514921,25594922,25454904,25504902,25264930,25684954,25134856,25484909,25194931,25484904,25594926,25364919,25424934,25674917,25584963,25364907
1998,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1999,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2002,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2003,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2004,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2005,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2006,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2007,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2008,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2009,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2010,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2011,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2012,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2013,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2014,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2015,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
2016,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False
2017,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,False,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,True,True
2018,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,True,False,False,True,True
2019,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True
2020,False,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False
2021,False,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,False,True,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,False,False,True,True
2022,False,True,True,True,False,True,True,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True
2023,False,True,True,False,True,True,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,True
